year,departamento,municipio,total,hombres,mujeres,indeterminado
2019,18 Caquetá,18610 San José del Fragua,197,107,90,0
2019,18 Caquetá,18753 San Vicente del Caguán,1082,580,502,0
2019,18 Caquetá,18756 Solano,154,82,72,0
2019,18 Caquetá,18785 Solita,122,66,56,0
2019,18 Caquetá,18860 Valparaíso,98,47,51,0
2019,19 Cauca,19001 Popayán,3856,1988,1866,2
2019,19 Cauca,19022 Almaguer,180,92,88,0
2019,19 Cauca,19050 Argelia,409,212,197,0
2019,19 Cauca,19075 Balboa,230,118,112,0
2019,19 Cauca,19100 Bolívar,330,153,177,0
2019,19 Cauca,19110 Buenos Aires,289,142,147,0
2019,19 Cauca,19130 Cajibío,439,232,207,0
2019,19 Cauca,19137 Caldono,520,295,225,0
2019,19 Cauca,19142 Caloto,356,193,163,0
2019,19 Cauca,19212 Corinto,344,172,172,0
2019,19 Cauca,19256 El Tambo,463,236,227,0
2019,19 Cauca,19290 Florencia,62,31,31,0
2019,19 Cauca,19300 Guachené,233,101,132,0
2019,19 Cauca,19318 Guapi,306,153,153,0
2019,19 Cauca,19355 Inzá,397,211,186,0
2019,19 Cauca,19364 Jambaló,250,117,133,0
2019,19 Cauca,19392 La Sierra,100,44,56,0
2019,19 Cauca,19397 La Vega,173,99,74,0
2019,19 Cauca,19418 López,66,35,31,0
2019,19 Cauca,19450 Mercaderes,144,89,55,0
2019,19 Cauca,19455 Miranda,365,201,164,0
2019,19 Cauca,19473 Morales,371,178,193,0
2019,19 Cauca,19513 Padilla,97,53,44,0
2019,19 Cauca,19517 Paéz,781,394,387,0
2019,19 Cauca,19532 Patía,386,205,181,0
2019,19 Cauca,19533 Piamonte,144,80,64,0
2019,19 Cauca,19548 Piendamó,485,256,228,1
2019,19 Cauca,19573 Puerto Tejada,578,303,275,0
2019,19 Cauca,19585 Puracé,193,100,93,0
2019,19 Cauca,19622 Rosas,73,30,43,0
2019,19 Cauca,19693 San Sebastián,91,48,43,0
2019,19 Cauca,19698 Santander de Quilichao,1567,822,745,0
2019,19 Cauca,19701 Santa Rosa,48,26,22,0
2019,19 Cauca,19743 Silvia,447,228,219,0
2019,19 Cauca,19760 Sotará,82,39,43,0
2019,19 Cauca,19780 Suárez,313,163,150,0
2019,19 Cauca,19785 Sucre,55,30,25,0
2019,19 Cauca,19807 Timbío,412,218,194,0
2019,19 Cauca,19809 Timbiquí,213,117,96,0
2019,19 Cauca,19821 Toribío,634,319,315,0
2019,19 Cauca,19824 Totoró,275,142,133,0
2019,19 Cauca,19845 Villa Rica,254,127,127,0
2019,20 Cesar,20001 Valledupar,10273,5336,4937,0
2019,20 Cesar,20011 Aguachica,1921,1001,920,0
2019,20 Cesar,20013 Agustín Codazzi,1317,662,655,0
2019,20 Cesar,20032 Astrea,418,225,193,0
2019,20 Cesar,20045 Becerril,489,248,241,0
2019,20 Cesar,20060 Bosconia,946,468,478,0
2019,20 Cesar,20175 Chimichagua,603,303,300,0
2019,20 Cesar,20178 Chiriguaná,513,267,246,0
2019,20 Cesar,20228 Curumaní,705,343,362,0
2019,20 Cesar,20238 El Copey,553,262,291,0
2019,20 Cesar,20250 El Paso,787,413,374,0
2019,20 Cesar,20295 Gamarra,169,91,78,0
2019,20 Cesar,20310 González,22,9,13,0
2019,20 Cesar,20383 La Gloria,218,108,110,0
2019,20 Cesar,20400 La Jagua de Ibirico,925,477,448,0
2019,20 Cesar,20443 Manaure,190,102,88,0
2019,20 Cesar,20517 Pailitas,357,202,155,0
2019,20 Cesar,20550 Pelaya,361,193,168,0
2019,20 Cesar,20570 Pueblo Bello,586,298,288,0
2019,20 Cesar,20614 Río de Oro,110,57,53,0
2019,20 Cesar,20621 La Paz,473,231,242,0
2019,20 Cesar,20710 San Alberto,448,228,220,0
2019,20 Cesar,20750 San Diego,324,172,152,0
2019,20 Cesar,20770 San Martín,417,219,198,0
2019,20 Cesar,20787 Tamalameque,245,130,115,0
2019,23 Córdoba,23001 Montería,7575,3931,3644,0
2019,23 Córdoba,23068 Ayapel,710,366,344,0
2019,23 Córdoba,23079 Buenavista,270,141,129,0
2019,23 Córdoba,23090 Canalete,238,126,112,0
2019,23 Córdoba,23162 Cereté,1251,629,622,0
2019,23 Córdoba,23168 Chimá,139,77,62,0
2019,23 Córdoba,23182 Chinú,578,296,282,0
2019,23 Córdoba,23189 Ciénaga de Oro,712,373,339,0
2019,23 Córdoba,23300 Cotorra,222,119,103,0
2019,23 Córdoba,23350 La Apartada,151,77,74,0
2019,23 Córdoba,23417 Lorica,1800,926,874,0
2019,23 Córdoba,23419 Los Córdobas,240,122,118,0
2019,23 Córdoba,23464 Momil,216,107,109,0
2019,23 Córdoba,23466 Montelíbano,1395,724,671,0
2019,23 Córdoba,23500 Moñitos,342,175,167,0
2019,23 Córdoba,23555 Planeta Rica,1050,521,529,0
2019,23 Córdoba,23570 Pueblo Nuevo,413,221,192,0
2019,23 Córdoba,23574 Puerto Escondido,307,158,149,0
2019,23 Córdoba,23580 Puerto Libertador,572,297,275,0
2019,23 Córdoba,23586 Purísima,168,87,81,0
2019,23 Córdoba,23660 Sahagún,1416,740,676,0
2019,23 Córdoba,23670 San Andrés Sotavento,591,308,283,0
2019,23 Córdoba,23672 San Antero,466,232,234,0
2019,23 Córdoba,23675 San Bernardo del Viento,490,258,232,0
2019,23 Córdoba,23678 San Carlos,238,130,108,0
2019,23 Córdoba,23682 San José de Ure,121,69,52,0
2019,23 Córdoba,23686 San Pelayo,466,260,206,0
2019,23 Córdoba,23807 Tierralta,1775,924,851,0
2019,23 Córdoba,23815 Tuchín,608,309,299,0
2019,23 Córdoba,23855 Valencia,484,237,247,0
2019,25 Cundinamarca,25001 Agua de Dios,60,27,33,0
2019,25 Cundinamarca,25019 Albán,51,25,26,0
2019,25 Cundinamarca,25035 Anapoima,169,94,75,0
2019,25 Cundinamarca,25040 Anolaima,113,66,47,0
