Fecha,USD,EUR,JPY,CHF,UVR (COP),COP,% Moneda local,% Moneda extranjera
2006-06-30,28.63492543930546,3.2011393132771473,0.8309717630130371,0.0,15.565624091965303,51.76733939243904,67.33296348440435,32.66703651559564
2006-07-31,28.732452507254642,3.013497401597902,0.7706441344315154,0.0,16.20556506429203,51.27784089242392,67.48340595671594,32.51659404328406
2006-08-31,28.126043394653777,2.9435424245247055,0.7474480071445009,0.0,16.05753997341921,52.125426200257806,68.18296617367702,31.817033826322984
2006-09-30,29.383117433322308,2.93311492772794,0.7337171455883225,0.0,15.26869877311728,51.68135172024416,66.95005049336145,33.049949506638576
2006-10-31,28.797832462197288,2.859545410326848,0.7127731507275126,0.0,15.400756739984287,52.229092236764075,67.62984897674836,32.37015102325165
2006-11-30,29.131501384522807,2.8771370948582207,0.7081847675076243,0.0,14.884771394149446,52.398405358961895,67.28317675311133,32.71682324688865
2006-12-31,29.18333382260798,2.7660174771303327,0.6713826360372565,0.0,14.807134912143729,52.57213115208069,67.37926606422442,32.62073393577557
2007-01-31,29.024830075217373,2.71221678508911,0.6444028944356394,0.0,14.335470627867334,53.28307961739054,67.61855024525786,32.38144975474213
2007-02-28,27.899123733184812,2.6979184148398194,0.6354349418167355,0.0,14.598334867767749,54.1691880423909,68.76752291015865,31.232477089841364
2007-03-31,27.87963124179652,2.719311882903604,0.6312978637616442,0.0,15.378959305283784,53.390799706254455,68.76975901153824,31.230240988461766
2007-04-30,27.007977907304557,2.6884397634227484,0.6104517670435732,0.0,15.598470348758338,54.09466021347078,69.69313056222913,30.306869437770885
2007-05-01,24.939429457028613,2.4205726901555957,0.5549964805702041,0.0,16.049457121519914,56.03554425072568,72.0850013722456,27.91499862775441
2007-06-01,24.03257027946349,2.4225716014082894,0.5398406218816247,0.0,15.73865075118071,57.26636674606588,73.0050174972466,26.994982502753405
2007-07-01,23.82893757795046,2.4446489940543397,0.5365184536675404,0.0,15.024192916241821,58.16570205808584,73.18989497432766,26.810105025672335
2007-08-31,25.324064368319803,2.5945609594533727,0.587708735806358,0.0,14.561485770878269,56.93218016554219,71.49366593642046,28.506334063579537
2007-09-30,24.221813188547564,2.5477790596876737,0.557697459945493,0.0,14.876062142074009,57.796648149745266,72.67271029181927,27.32728970818073
2007-10-31,23.835047133261035,2.561254586687325,0.5528476663860993,0.0,14.88175284175573,58.169097771909804,73.05085061366555,26.949149386334454
2007-11-30,25.058960431319573,2.695202016267385,0.5955145708852446,0.0,15.129066986545434,56.521255994982376,71.65032298152781,28.349677018472203
2007-12-31,24.916282819872603,2.606880085625311,0.5705296151369492,0.0,15.090401365302796,56.81590611406232,71.90630747936511,28.093692520634868
2008-01-31,25.0830784234893,1.5660835195984886,0.5513343351519072,0.0,15.00910556891084,57.790398152849484,72.79950372176033,27.2004962782397
2008-02-29,23.89970544131214,1.2728349343140977,0.5540638618576967,0.0,15.31926526986738,58.95413049264868,74.27339576251606,25.726604237483937
2008-03-31,23.357982797153543,1.2751699479261323,0.5488938107421175,0.0,15.41426119759377,59.40369224658446,74.81795344417823,25.182046555821792
2008-04-30,23.182958805023056,1.2491650413421758,0.5310934409348292,0.0,16.32195965653992,58.714823056160014,75.03678271269993,24.96321728730006
2008-05-31,22.34078226038257,1.1883423409529137,0.5126031293635724,0.0,16.435098840564894,59.523173428736044,75.95827226930095,24.04172773069906
2008-06-30,22.809997302208114,1.226815693104176,0.5163495167973922,0.0,16.728566667825863,58.718270820064454,75.44683748789032,24.553162512109683
2008-07-31,22.193373267344736,1.1661603402994154,0.4869919674346853,0.0,16.802209892495068,59.35126453242609,76.15347442492116,23.84652557507884
2008-08-31,23.9563383004422,1.1863028521153016,0.510462995070021,0.0,17.179585365973303,57.16731048639922,74.34689585237251,25.653104147627527
