Fecha,Perspectiva,Grupo,Concepto,Periodo,Valor
2024,Total nacional,Población ocupada,Empresa mediana,Nov - Ene,1502.586525
2024,Total nacional,Población ocupada,Empresa mediana,Dic - Feb,1513.395714
2025,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1525.865601
2025,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1554.793978
2025,Total nacional,Población ocupada,Empresa mediana,Mar - May,1571.664191
2025,Total nacional,Población ocupada,Empresa mediana,Abr - Jun,1544.230149
2025,Total nacional,Población ocupada,Empresa mediana,May - Jul,1505.803526
2025,Total nacional,Población ocupada,Empresa mediana,Jun - Ago,1476.920124
2025,Total nacional,Población ocupada,Empresa mediana,Jul - Sep,1501.602387
2025,Total nacional,Población ocupada,Empresa mediana,Ago - Oct,1550.473885
2025,Total nacional,Población ocupada,Empresa mediana,Sep - Nov,1615.715796
2025,Total nacional,Población ocupada,Empresa mediana,Oct - Dic,1627.910774
2025,Total nacional,Población ocupada,Empresa mediana,Nov - Ene,1580.56278
2025,Total nacional,Población ocupada,Empresa mediana,Dic - Feb,1537.911454
2026,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1526.243951
2026,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1568.584915
2021,Total nacional,Población ocupada,Empresa grande,Ene - Mar,2489.0895306666666
2021,Total nacional,Población ocupada,Empresa grande,Feb - Abr,2641.3480036666665
2021,Total nacional,Población ocupada,Empresa grande,Mar - May,2837.032955
2021,Total nacional,Población ocupada,Empresa grande,Abr - Jun,2867.693579666667
2021,Total nacional,Población ocupada,Empresa grande,May - Jul,2997.0320410000004
2021,Total nacional,Población ocupada,Empresa grande,Jun - Ago,3122.7380173333336
2021,Total nacional,Población ocupada,Empresa grande,Jul - Sep,3388.313282333333
2021,Total nacional,Población ocupada,Empresa grande,Ago - Oct,3546.4894929999996
2021,Total nacional,Población ocupada,Empresa grande,Sep - Nov,3609.9521136666667
2021,Total nacional,Población ocupada,Empresa grande,Oct - Dic,3624.490774
2021,Total nacional,Población ocupada,Empresa grande,Nov - Ene,3674.173945
2021,Total nacional,Población ocupada,Empresa grande,Dic - Feb,3806.991942666666
2022,Total nacional,Población ocupada,Empresa grande,Ene - Mar,3935.5578813333327
2022,Total nacional,Población ocupada,Empresa grande,Feb - Abr,4138.906884999999
2022,Total nacional,Población ocupada,Empresa grande,Mar - May,4293.715875999999
2022,Total nacional,Población ocupada,Empresa grande,Abr - Jun,4388.755718666666
2022,Total nacional,Población ocupada,Empresa grande,May - Jul,4334.145847
2022,Total nacional,Población ocupada,Empresa grande,Jun - Ago,4261.127837
2022,Total nacional,Población ocupada,Empresa grande,Jul - Sep,4214.401467
2022,Total nacional,Población ocupada,Empresa grande,Ago - Oct,4257.127756333332
2022,Total nacional,Población ocupada,Empresa grande,Sep - Nov,4282.427976
2022,Total nacional,Población ocupada,Empresa grande,Oct - Dic,4309.186272333333
2022,Total nacional,Población ocupada,Empresa grande,Nov - Ene,4275.055428999999
2022,Total nacional,Población ocupada,Empresa grande,Dic - Feb,4254.8507113333335
2023,Total nacional,Población ocupada,Empresa grande,Ene - Mar,4253.599128333333
2023,Total nacional,Población ocupada,Empresa grande,Feb - Abr,4425.1734050000005
2023,Total nacional,Población ocupada,Empresa grande,Mar - May,4660.513488333333
2023,Total nacional,Población ocupada,Empresa grande,Abr - Jun,4838.571117
2023,Total nacional,Población ocupada,Empresa grande,May - Jul,4861.465008
2023,Total nacional,Población ocupada,Empresa grande,Jun - Ago,4788.0753970000005
2023,Total nacional,Población ocupada,Empresa grande,Jul - Sep,4787.037450333333
2023,Total nacional,Población ocupada,Empresa grande,Ago - Oct,4809.458811333333
2023,Total nacional,Población ocupada,Empresa grande,Sep - Nov,4850.847909
2023,Total nacional,Población ocupada,Empresa grande,Oct - Dic,4781.163076333333
2023,Total nacional,Población ocupada,Empresa grande,Nov - Ene,4612.474060333334
2023,Total nacional,Población ocupada,Empresa grande,Dic - Feb,4462.480915
2024,Total nacional,Población ocupada,Empresa grande,Ene - Mar,4491.859593
2024,Total nacional,Población ocupada,Empresa grande,Feb - Abr,4666.4589989999995
2024,Total nacional,Población ocupada,Empresa grande,Mar - May,4803.854751
2024,Total nacional,Población ocupada,Empresa grande,Abr - Jun,4811.121234333333
2024,Total nacional,Población ocupada,Empresa grande,May - Jul,4745.571999666667
2024,Total nacional,Población ocupada,Empresa grande,Jun - Ago,4741.939213000001
2024,Total nacional,Población ocupada,Empresa grande,Jul - Sep,4766.249542666667
2024,Total nacional,Población ocupada,Empresa grande,Ago - Oct,4844.237305
2024,Total nacional,Población ocupada,Empresa grande,Sep - Nov,4994.651391666667
2024,Total nacional,Población ocupada,Empresa grande,Oct - Dic,5002.284524666667
2024,Total nacional,Población ocupada,Empresa grande,Nov - Ene,4935.569101
2024,Total nacional,Población ocupada,Empresa grande,Dic - Feb,4798.344109
2025,Total nacional,Población ocupada,Empresa grande,Ene - Mar,4860.297056
2025,Total nacional,Población ocupada,Empresa grande,Feb - Abr,4949.397391
2025,Total nacional,Población ocupada,Empresa grande,Mar - May,5039.340641
2025,Total nacional,Población ocupada,Empresa grande,Abr - Jun,5120.503405
2025,Total nacional,Población ocupada,Empresa grande,May - Jul,5240.825671
2025,Total nacional,Población ocupada,Empresa grande,Jun - Ago,5276.532848
2025,Total nacional,Población ocupada,Empresa grande,Jul - Sep,5311.434556
2025,Total nacional,Población ocupada,Empresa grande,Ago - Oct,5200.067138
2025,Total nacional,Población ocupada,Empresa grande,Sep - Nov,5175.027595
2025,Total nacional,Población ocupada,Empresa grande,Oct - Dic,5088.626621
2025,Total nacional,Población ocupada,Empresa grande,Nov - Ene,5019.072974
2025,Total nacional,Población ocupada,Empresa grande,Dic - Feb,5065.073746
2026,Total nacional,Población ocupada,Empresa grande,Ene - Mar,5126.799515
2026,Total nacional,Población ocupada,Empresa grande,Feb - Abr,5334.795131
2021,Total nacional,Formal,Formal,Ene - Mar,7785.653908666667
2021,Total nacional,Formal,Formal,Feb - Abr,7909.355157000001
2021,Total nacional,Formal,Formal,Mar - May,8072.084484
2021,Total nacional,Formal,Formal,Abr - Jun,8129.446118333333
2021,Total nacional,Formal,Formal,May - Jul,8238.332096666667
2021,Total nacional,Formal,Formal,Jun - Ago,8213.251104
2021,Total nacional,Formal,Formal,Jul - Sep,8379.499542
2021,Total nacional,Formal,Formal,Ago - Oct,8468.644289000002
2021,Total nacional,Formal,Formal,Sep - Nov,8699.100822
2021,Total nacional,Formal,Formal,Oct - Dic,8786.183250666667
2021,Total nacional,Formal,Formal,Nov - Ene,8877.007702666668
2021,Total nacional,Formal,Formal,Dic - Feb,8866.115357
2022,Total nacional,Formal,Formal,Ene - Mar,8871.164574
2022,Total nacional,Formal,Formal,Feb - Abr,8972.862147
2022,Total nacional,Formal,Formal,Mar - May,9209.821490666667
2022,Total nacional,Formal,Formal,Abr - Jun,9319.959230333334
2022,Total nacional,Formal,Formal,May - Jul,9320.579292666667
2022,Total nacional,Formal,Formal,Jun - Ago,9295.435332333333
2022,Total nacional,Formal,Formal,Jul - Sep,9317.692012
2022,Total nacional,Formal,Formal,Ago - Oct,9435.209284333332
2022,Total nacional,Formal,Formal,Sep - Nov,9449.594036333334
2022,Total nacional,Formal,Formal,Oct - Dic,9555.084776000002
2022,Total nacional,Formal,Formal,Nov - Ene,9378.897764333333
2022,Total nacional,Formal,Formal,Dic - Feb,9306.445961
2023,Total nacional,Formal,Formal,Ene - Mar,9275.529452333334
2023,Total nacional,Formal,Formal,Feb - Abr,9606.630535666665
2023,Total nacional,Formal,Formal,Mar - May,9844.298999666666
2023,Total nacional,Formal,Formal,Abr - Jun,10086.912075666667
2023,Total nacional,Formal,Formal,May - Jul,10109.484209666667
2023,Total nacional,Formal,Formal,Jun - Ago,10185.146267999999
2023,Total nacional,Formal,Formal,Jul - Sep,10163.486025
2023,Total nacional,Formal,Formal,Ago - Oct,10240.098126333332
2023,Total nacional,Formal,Formal,Sep - Nov,10298.674289
2023,Total nacional,Formal,Formal,Oct - Dic,10251.100362666666
2023,Total nacional,Formal,Formal,Nov - Ene,10054.055346000001
2023,Total nacional,Formal,Formal,Dic - Feb,9815.573713
2024,Total nacional,Formal,Formal,Ene - Mar,9792.551913333335
2024,Total nacional,Formal,Formal,Feb - Abr,9911.884756
2024,Total nacional,Formal,Formal,Mar - May,10090.831013666668
2024,Total nacional,Formal,Formal,Abr - Jun,10143.182266666667
2024,Total nacional,Formal,Formal,May - Jul,10172.497691666666
2024,Total nacional,Formal,Formal,Jun - Ago,10204.013674
2024,Total nacional,Formal,Formal,Jul - Sep,10280.891537666668
2024,Total nacional,Formal,Formal,Ago - Oct,10365.881872
2024,Total nacional,Formal,Formal,Sep - Nov,10452.200478666668
2024,Total nacional,Formal,Formal,Oct - Dic,10416.460848333334
2024,Total nacional,Formal,Formal,Nov - Ene,10278.111016
2024,Total nacional,Formal,Formal,Dic - Feb,10070.076338
2025,Total nacional,Formal,Formal,Ene - Mar,10004.248083
2025,Total nacional,Formal,Formal,Feb - Abr,10193.976907
2025,Total nacional,Formal,Formal,Mar - May,10415.646119
2025,Total nacional,Formal,Formal,Abr - Jun,10633.526133
2025,Total nacional,Formal,Formal,May - Jul,10707.799927
2025,Total nacional,Formal,Formal,Jun - Ago,10686.791196
2025,Total nacional,Formal,Formal,Jul - Sep,10754.485423
2025,Total nacional,Formal,Formal,Ago - Oct,10710.24066
2025,Total nacional,Formal,Formal,Sep - Nov,10848.084908
2025,Total nacional,Formal,Formal,Oct - Dic,10811.989069
2025,Total nacional,Formal,Formal,Nov - Ene,10726.999686
2025,Total nacional,Formal,Formal,Dic - Feb,10659.72814
2026,Total nacional,Formal,Formal,Ene - Mar,10672.697775
2026,Total nacional,Formal,Formal,Feb - Abr,10896.187587
